mydate;year;month;day;var
2013-10-27;2013;10;27;24.7814102172852
2013-10-28;2013;10;28;26.4562759399414
2013-10-29;2013;10;29;24.7436656951904
2013-10-30;2013;10;30;17.6278953552246
2013-10-31;2013;10;31;22.099422454834
2013-11-01;2013;11;1;20.8387107849121
2013-11-02;2013;11;2;23.007869720459
2013-11-03;2013;11;3;27.7346286773682
2013-11-04;2013;11;4;22.4332466125488
2013-11-05;2013;11;5;7.54669332504272
2013-11-06;2013;11;6;6.72984790802002
2013-11-07;2013;11;7;9.7233190536499
2013-11-08;2013;11;8;20.8943748474121
2013-11-09;2013;11;9;28.2040519714355
2013-11-10;2013;11;10;29.1221752166748
2013-11-11;2013;11;11;27.89137840271
2013-11-12;2013;11;12;19.8217086791992
2013-11-13;2013;11;13;22.2342281341553
2013-11-14;2013;11;14;22.6421985626221
2013-11-15;2013;11;15;26.8673324584961
2013-11-16;2013;11;16;21.2945384979248
2013-11-17;2013;11;17;8.85035705566406
2013-11-18;2013;11;18;22.8092460632324
2013-11-19;2013;11;19;24.4912300109863
2013-11-20;2013;11;20;28.442699432373
2013-11-21;2013;11;21;28.4665603637695
2013-11-22;2013;11;22;19.4495391845703
2013-11-23;2013;11;23;17.3588161468506
2013-11-24;2013;11;24;7.92006015777588
2013-11-25;2013;11;25;7.30232191085815
2013-11-26;2013;11;26;14.6278991699219
2013-11-27;2013;11;27;22.6230640411377
2013-11-28;2013;11;28;25.8882007598877
2013-11-29;2013;11;29;22.3512439727783
2013-11-30;2013;11;30;11.870717048645
2013-12-01;2013;12;1;20.6210670471191
2013-12-02;2013;12;2;8.90947723388672
2013-12-03;2013;12;3;23.1151027679443
2013-12-04;2013;12;4;24.4607543945312
2013-12-05;2013;12;5;23.4545040130615
2013-12-06;2013;12;6;27.0950984954834
2013-12-07;2013;12;7;16.7072124481201
2013-12-08;2013;12;8;20.8245449066162
2013-12-09;2013;12;9;23.0383815765381
2013-12-10;2013;12;10;13.5657958984375
2013-12-11;2013;12;11;15.4568777084351
2013-12-12;2013;12;12;16.3285121917725
2013-12-13;2013;12;13;22.6561412811279
2013-12-14;2013;12;14;20.7142562866211
2013-12-15;2013;12;15;13.311580657959
2013-12-16;2013;12;16;21.1656951904297
2013-12-17;2013;12;17;23.8566818237305
2013-12-18;2013;12;18;28.331506729126
2013-12-19;2013;12;19;25.8852519989014
2013-12-20;2013;12;20;17.5455417633057
2013-12-21;2013;12;21;19.0361633300781
2013-12-22;2013;12;22;18.186071395874
2013-12-23;2013;12;23;12.9966421127319
2013-12-24;2013;12;24;16.7365760803223
2013-12-25;2013;12;25;20.5624904632568
2013-12-26;2013;12;26;28.2369956970215
2013-12-27;2013;12;27;25.0057830810547
2013-12-28;2013;12;28;24.6608963012695
2013-12-29;2013;12;29;24.6253623962402
2013-12-30;2013;12;30;21.9021530151367
2013-12-31;2013;12;31;21.7940196990967
2014-01-01;2014;1;1;17.375
2014-01-02;2014;1;2;19.84375
2014-01-03;2014;1;3;25.28125
2014-01-04;2014;1;4;26.65625
2014-01-05;2014;1;5;25.140625
2014-01-06;2014;1;6;25.84375
2014-01-07;2014;1;7;26.421875
2014-01-08;2014;1;8;25.78125
2014-01-09;2014;1;9;25.0625
2014-01-10;2014;1;10;26.03125
