"SimID","Date","DAP","vstage","rstage","PG","stresstl","greenfrac","aroot","aleaf","astem","arepr","cbiol","cbiog","cbioc","cbiop","cbios","cbior","plai","peaklai","aerial","aybprod","ayabprod","ayrprod","aylprod","biomass","ayanpp","cumPh","xn","gdd8","gdd10","sumgdd8","pla","leafwb","tlno","P3","root","leaf","stem","grain","Source","L.SD","GSTD","TURFAC","SWFAC","NSTRES","CWAD","GWAD","LWAD","SWAD","RWAD","LAID"
"USNEME_Irrigated_2003",2003-06-06,24,4,0,61.1723801590658,0.999815647961856,1,0.5,0.5,0,0,0.0663109161549214,0,0,0,0,0.0639218445559592,2.65243664619685,2.65243664619685,0,0.13042488438282,0.0647657816284551,0.0656591027543648,0.062940506927556,0.130232760710881,0.133287978591361,5.33853050794332,6.33853050794332,145.960000000001,152.83962966462,0,254.154126127028,0.644796768957271,13.5043701799486,397.560000000001,20.4877706910126,0.392611350456645,0,0,"ECOSMOS",4,0,1,1,1,39.2611350456645,0,39.2611350456645,0,2048.77706910126,2.65243664619685
"USNEME_Irrigated_2003",2003-06-07,25,4,0,15.6135601626113,0.999958653963653,1,0.5,0.5,0,0,0.0749399728029458,0,0,0,0,0.0733645453172339,2.99759891211783,2.99759891211783,0,0.149816683806928,0.0743952710685088,0.0754214127384193,0.0722986113396587,0.14830451812018,0.153105467858991,5.46475158763484,6.46475158763484,150.870000000001,155.74962966462,0,268.504208005444,0.681542958630468,13.7568123393317,402.470000000001,23.5142773452673,0.407326319780738,0,0,"ECOSMOS",4,0,1,1,1,40.7326319780738,0,40.7326319780738,0,2351.42773452673,2.99759891211783
"USNEME_Irrigated_2003",2003-06-08,26,4,0,48.7857708191038,0.999890987693543,1,0.5,0.5,0,0,0.0760180062591693,0,0,0,0,0.07529693473289,3.04072025036677,3.04072025036677,0,0.154383826293559,0.0766632014128975,0.0777206248806616,0.0745026252797838,0.151314940992059,0.157772868507743,5.66809348994847,6.66809348994847,158.780000000001,161.65962966462,0,295.382950332223,0.750371778936512,14.1634961439589,410.380000000001,24.1336329272083,0.442234243413589,0,0,"ECOSMOS",4,0,1,1,1,44.2234243413589,0,44.2234243413589,0,2413.36329272083,3.04072025036677
"USNEME_Irrigated_2003",2003-06-09,27,4,0,67.2930603226718,0.999913944459343,1,0.5,0.5,0,0,0.0823209108757952,0,0,0,0,0.0826303638919039,3.29283643503181,3.29283643503181,0,0.169698757172077,0.0842682184587367,0.0854305387133399,0.081893312399161,0.164951274767699,0.17342399358808,5.98968732028266,6.98968732028266,171.290000000001,172.16962966462,0,344.372349130002,0.875934759317351,14.8066838046273,422.890000000001,26.4840909909948,0.512647350377595,0,0,"ECOSMOS",4,0,1,1,1,51.2647350377595,0,51.2647350377595,0,2648.40909909948,3.29283643503181
"USNEME_Irrigated_2003",2003-06-10,28,4,0,58.0249741430755,0.999835715019327,1,0.5,0.5,0,0,0.0913591047573241,0,0,0,0,0.0929006457898225,3.65436419029296,3.65436419029296,0,0.190920271767141,0.0948062993364226,0.0961139724307181,0.0921344016874855,0.184259750547147,0.195111364034358,6.27015004521839,7.27015004521839,182.200000000001,181.07962966462,0,389.036146907635,0.990639824878371,15.3676092544988,433.800000000001,29.7758480095585,0.572628549612543,0,0,"ECOSMOS",4,0,1,1,1,57.2628549612543,0,57.2628549612543,0,2977.58480095585,3.65436419029296
"USNEME_Irrigated_2003",2003-06-11,29,4,0,72.0139776872526,0.999708389399733,1,0.5,0.5,0,0,0.0985836108945249,0,0,0,0,0.101554424169507,3.943344435781,3.943344435781,0,0.209032776731229,0.103800522691878,0.105232254039352,0.100875143529521,0.200138035064032,0.213621475699884,6.56603693467855,7.56603693467855,193.710000000001,190.58962966462,0,439.634824691966,1.12079804057387,15.9593830334191,445.310000000001,32.5494949261241,0.639460574643075,0,0,"ECOSMOS",4,0,1,1,1,63.9460574643076,0,63.9460574643076,0,3254.94949261241,3.943344435781
"USNEME_Irrigated_2003",2003-06-12,30,5,0,10.8340577057453,0.999938532250243,1,0.5,0.5,0,0,0.107776686517157,0,0,0,0,0.112413569122612,4.31106746068627,4.31106746068627,0,0.231611958946155,0.115012787832851,0.116599171113304,0.111771416747183,0.220190255639769,0.236696317360008,6.85164104778909,7.85164104778909,204.820000000001,199.69962966462,0,490.992526617473,1.25314830002479,16.5305912596402,456.420000000001,36.0299901034013,0.703827781264634,0,0,"ECOSMOS",5,0,1,1,1,70.3827781264634,0,70.3827781264634,0,3602.99901034013,4.31106746068627
"USNEME_Irrigated_2003",2003-06-13,31,5,0,74.3745107708399,0.999753781731315,1,0.5,0.5,0,0,0.106724581656645,0,0,0,0,0.113170429413715,4.26898326626578,4.31106746068627,0,0.234231870619089,0.116313771369068,0.117918099250021,0.113035735052544,0.21989501107036,0.239373741477542,7.19894181899732,8.19894181899732,218.330000000001,211.20962966462,0,560.201324011755,1.43176299142108,17.2251928020566,469.930000000001,36.272573530037,0.794074692659532,0,0,"ECOSMOS",5,0,1,1,1,79.4074692659532,0,79.4074692659532,0,3627.2573530037,4.26898326626578
"USNEME_Irrigated_2003",2003-06-14,32,5,0,74.6636897366886,0.999516547864834,1,0.5,0.5,0,0,0.115769212902982,0,0,0,0,0.124302950424185,4.63076851611927,4.63076851611927,0,0.257469455394606,0.127852982987048,0.129616472407559,0.124249740512194,0.240072163327167,0.263121438987344,7.59508577786621,8.59508577786621,233.740000000001,224.61962966462,0,647.141675613196,1.65657497243877,18.0174807197944,485.340000000001,39.8406892385208,0.908287229673945,0,0,"ECOSMOS",5,0,1,1,1,90.8287229673945,0,90.8287229673945,0,3984.06892385208,4.63076851611927
"USNEME_Irrigated_2003",2003-06-15,33,5,0,73.083582508442,0.9992211510737,1,0.5,0.5,0,0,0.124400080991593,0,0,0,0,0.135363153637294,4.97600323966371,4.97600323966371,0,0.280673956386764,0.139375766013975,0.141298190372789,0.135447780382872,0.259763234628887,0.286835326456761,8.00793924830323,9.00793924830323,249.800000000001,238.67962966462,0,745.29770582869,1.91098055893389,18.8431876606684,501.400000000001,43.3856261657993,1.03361596013839,0,0,"ECOSMOS",5,0,1,1,1,103.361596013839,0,103.361596013839,0,4338.56261657993,4.97600323966371
"USNEME_Irrigated_2003",2003-06-16,34,6,0,62.2571550587939,0.999002012146338,1,0.5,0.5,0,0,0.1323063444376,0,0,0,0,0.14605267997746,5.29225377750401,5.29225377750401,0,0.303251996493152,0.15058746401201,0.152664532481142,0.146343502441215,0.278359024415061,0.309909000936717,8.41693667760915,9.41693667760915,265.710000000001,252.58962966462,0,849.064160519511,2.18060115457704,19.6611825192803,517.310000000001,46.8117564030321,1.15909057804594,0,0,"ECOSMOS",6,0,1,1,1,115.909057804594,0,115.909057804594,0,4681.17564030321,5.29225377750401
"USNEME_Irrigated_2003",2003-06-17,35,6,0,58.0636272859533,0.998744421909816,1,0.5,0.5,0,0,0.137985746185978,0,0,0,0,0.154864936652041,5.51942984743913,5.51942984743913,0,0.322207206436994,0.160000153881384,0.16220705255561,0.155490917280257,0.29285068283802,0.329280316687888,8.84007292439578,9.84007292439578,282.170000000001,267.04962966462,0,964.458437692238,2.4811568984337,20.5074550128535,533.770000000001,49.6361976448851,1.29353946354124,0,0,"ECOSMOS",6,0,1,1,1,129.353946354124,0,129.353946354124,0,4963.61976448851,5.51942984743913
"USNEME_Irrigated_2003",2003-06-18,36,6,0,32.8993453832588,0.999981648817552,1,0.5,0.5,0,0,0.142569658508359,0,0,0,0,0.16289637079633,5.70278634033435,5.70278634033435,0,0.33969891784954,0.168686106466381,0.171012811383159,0.163932076254987,0.305466029304689,0.347156007107813,9.22850480100246,10.2285048010025,297.280000000001,280.15962966462,0,1073.79388936116,2.76673419763005,21.2843187660669,548.880000000001,52.2103752552341,1.40556026087624,0,0,"ECOSMOS",6,0,1,1,1,140.556026087624,0,140.556026087624,0,5221.03752552341,5.70278634033435
"USNEME_Irrigated_2003",2003-06-19,37,6,0,77.4973081129365,0.999903234502562,1,0.5,0.498971798948172,0.00102820105182816,0,0.142742035845532,0,0,0,9.16802840270474e-06,0.166755402386159,5.70968143382129,5.70968143382129,0,0.348982047682538,0.173295722855569,0.17568632482697,0.168402871552153,0.309506606260094,0.356643239398748,9.57066418403588,10.5706641840359,310.590000000001,291.46962966462,0,1170.10064597806,2.76673419763005,21.2843187660669,548.880000000001,53.4472443545382,1.93426934924059,0.00128270036916982,0,"ECOSMOS",6,0,1,1,1,193.555204960976,0,193.426934924059,0.128270036916982,5344.72443545382,5.70968143382129
"USNEME_Irrigated_2003",2003-06-20,38,7,0,76.4419446988134,0.999593494664087,1,0.5,0.496108060196687,0.0038919398033132,0,0.14983985140184,0,0,0,9.80252760836821e-05,0.177888268310812,5.99359405607358,5.99359405607358,0,0.372749499731817,0.185096531968264,0.187652967763553,0.179784748971992,0.327826144988735,0.380935524560013,9.89611405550118,10.8961140555012,323.250000000002,302.12962966462,0,1263.14257696768,2.76673419763005,21.2843187660669,548.880000000001,57.0154706124397,2.47023764370636,0.00631488571877327,0,"ECOSMOS",7,0,1,1,1,247.655252942513,0,247.023764370636,0.631488571877327,5701.54706124397,5.99359405607358
"USNEME_Irrigated_2003",2003-06-21,39,7,0,53.5070536938199,0.999481944141811,1,0.5,0.490351259064917,0.009648740935083,0,0.156143946788949,0,0,0,0.000314487368528159,0.188757458903163,6.24575787155796,6.24575787155796,0,0.396099419556565,0.196687819859107,0.199411599697458,0.190839001448571,0.34521589306064,0.40480554738584,10.2858312791516,11.2858312791516,338.410000000002,315.28962966462,0,1388.25121053138,2.76673419763005,21.2843187660669,548.880000000001,60.4991855458855,3.19274780347261,0.0229238909145928,0,"ECOSMOS",7,0,1,1,1,321.567169438721,0,319.274780347261,2.29238909145928,6049.91855458855,6.24575787155796
"USNEME_Irrigated_2003",2003-06-22,40,7,0,30.5947569778684,0.999758465139761,1,0.5,0.481675152513497,0.0183248474865035,0,0.158165620386518,0,0,0,0.000592510559167969,0.195765852385534,6.32662481546071,6.32662481546071,0,0.411886131603489,0.204522351129144,0.207363780474345,0.198182546715234,0.35452398333122,0.42094847436292,10.6986847495886,11.6986847495886,354.470000000002,329.349629664621,0,1529.79169832454,2.76673419763005,21.2843187660669,548.880000000001,62.7454655081839,4.03701585524704,0.0603902413193553,0,"ECOSMOS",7,0,1,1,1,409.740609656639,0,403.701585524704,6.03902413193553,6274.54655081839,6.32662481546071
