ID,LAT,LON,SOILID,StationID,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,cycle length,cycles,params
sim6774,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,100,2005,1407,1,eucalipto1
sim6775,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,97,2005,1438,1,eucalipto1
sim6776,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,108,2005,1427,1,eucalipto1
sim6777,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,94,2005,1441,1,eucalipto1
sim6778,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,114,2005,1421,1,eucalipto1
sim6779,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,95,2005,1440,1,eucalipto1
sim6780,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,50,2005,1457,1,eucalipto1
sim6934,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,348,2004,1480,1,eucalipto1
sim6935,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,3,2005,1532,1,eucalipto1
sim6936,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,307,2004,1521,1,eucalipto1
sim6938,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,264,2004,1564,1,eucalipto1
sim6939,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,295,2004,1533,1,eucalipto1
sim6940,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,11,2005,1496,1,eucalipto1
sim6941,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,17,2005,1490,1,eucalipto1
sim6943,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,24,2005,1483,1,eucalipto1
sim6944,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,33,2005,1502,1,eucalipto1
sim6946,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,83,2005,1452,1,eucalipto1
sim6947,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,73,2005,1462,1,eucalipto1
sim6954,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,40,2005,1467,1,eucalipto1
sim6955,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,50,2005,1457,1,eucalipto1
sim6956,-21.75,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,48,2005,1459,1,eucalipto1
sim7378,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,341,2005,1060,1,eucalipto1
sim7379,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,144,2005,736,1,eucalipto1
sim7381,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,25,2006,720,1,eucalipto1
sim7382,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,25,2006,720,1,eucalipto1
sim7383,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,31,2006,714,1,eucalipto1
sim7384,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,246,2004,1521,1,eucalipto1
sim7385,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,235,2004,1532,1,eucalipto1
sim7386,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,126,2004,1641,1,eucalipto1
sim7387,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,151,2004,1616,1,eucalipto1
sim7388,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,267,2004,1500,1,eucalipto1
sim7389,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,133,2004,1634,1,eucalipto1
sim7390,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,144,2004,1623,1,eucalipto1
