Ano;DOY;hhmm;resto_h;NEE;LE;H;Rg;PAR;Rn;  G;Rain;Tar;UR;Patm;Vh;Dir
2006;73;14.5;50400;-25.4553;612.74275;59.768;871.333;1855.333;685.867;13.35625;0;27.43;67.49;92.728;2.836;99.339
2006;73;15.5;54000;-14.4974;418.6975;-15.05;566.533;1194.333;412.8;9.1525;0;27.12;67.54;92.675;2.573;95.452
2006;73;16.5;57600;-10.4356;306.38375;-31.564;447;912;280.033;5.21325;0;27.59;65.89;92.618;1.848;111.177
2006;73;17.5;61200;-2.16135;100.21375;-27.217;208.8;418.9;74.587;1.59025;0;26.82;68.71;92.618;2.028;102.522
2006;73;18.5;64800;3.198;-20.59025;-21.499;14.905;33.35;-46.257;-4.16775;0;25.28;68.63;92.67;2.662;93.157
2006;73;19.5;68400;10.2847;-35.05775;-13.591;-2.873;-0.076;-53.037;-4.38825;0;25.29;67.9;92.728;2.606;74.256
2006;73;20.5;72000;5.7793;-8.65325;-41.893;-3.058;-0.084;-54.517;-3.97075;0;23.97;74.33;92.808;2.818;33.834
2006;73;21.5;75600;5.1882;-7.9465;-34.166;-2.449;-0.08;-45.893;-3.7805;0;23.26;78.79;92.899;2.801;30.119
2006;73;22.5;79200;4.8826;0.11375;-28.841;-1.712;-0.072;-32.213;-3.48575;0;23.08;79.5;92.937;2.741;32.012
2006;73;23.5;82800;8.20977;-12.5085;-2.045;-1.036;-0.073;-19.24;-4.6865;0;22.75;80.9;92.952;0.811;17.588
2006;74;0.5;0;7.738;-6.23975;-9.189;-0.579;-0.062;-19.583;-4.15425;0;22.38;83.5;92.933;2.077;169.416
2006;74;1.5;3600;8.6459;-21.5955;-4.546;-1.214;-0.06;-30.98;-4.8385;0;22.04;85.73;92.912;2.304;169.965
2006;74;2.5;7200;7.65573;-6.9385;-5.315;-1.316;-0.068;-17.117;-4.8635;0;21.76;86.57;92.891;1.619;149.821
2006;74;3.5;10800;9.4063;-10.4;-6.629;-1.366;-0.068;-21.763;-4.734;0;21.11;90.87;92.852;2.233;155.363
2006;74;4.5;14400;6.8794;-2.6065;-13.019;-1.168;-0.067;-20.397;-4.7715;0;20.48;96.1;92.866;2.306;124.899
2006;74;5.5;18000;5.9414;4.96475;-20.252;-0.911;-0.065;-20.083;-4.79575;0;20.8;90.57;92.882;2.345;89.592
2006;74;6.5;21600;10.1779;9.02025;-21.644;5.119;11.069;-17.523;-4.89925;0;20.58;91.83;92.919;2.658;98.785
2006;74;7.5;25200;-3.68513;12.29275;-10.948;54.04;119.367;-3.525;-4.86975;0;20.38;93.57;92.952;2.191;102.917
2006;74;8.5;28800;-11.2015;130.0825;21.506;229.033;471.7;150.4;-1.1885;0;21.29;91.43;93.013;1.509;115.71
2006;74;9.5;32400;-24.6322;197.33;19.169;309.967;630.867;218.633;2.134;0;22.91;83.27;93.017;3.573;99.779
2006;74;10.5;36000;-20.6209;247.61025;12.147;365.9;757;262.667;2.90975;0;23;81.2;93.024;3.371;101.964
2006;74;11.5;39600;-21.9513;262.89575;11.044;370.867;750.867;278.467;4.52725;0;24;80.3;93.004;2.364;143.827
2006;74;12.5;43200;-30.8037;485.373;65.559;717.333;1519.333;560.5;9.568;0;25.18;76.19;92.916;1.714;133.401
2006;74;13.5;46800;-39.3618;472.836;35.042;675.933;1442.667;527.133;19.255;0;26.2;70.32;92.808;2.432;111.617
2006;74;14.5;50400;-20.6991;300.38075;-12.291;387.167;803.6;295.5;7.41025;0;26.32;72.72;92.733;2.122;134.957
2006;74;15.5;54000;-12.6633;252.22;-18.506;336.4;704.167;238.533;4.819;0;25.6;76.19;92.695;2.557;94.36
2006;74;16.5;57600;-7.1665;172.31875;-41.705;213.567;436.033;132.467;1.85325;0;25.14;75.93;92.659;3.823;95.514
2006;74;17.5;61200;-0.0551;72.737;-42.059;103.283;221.767;29.787;-0.891;0;24.2;79.58;92.641;3.698;94.223
2006;74;18.5;64800;5.7222;11.624;-29.38;17.176;34.38;-20.9;-3.144;0;22.86;83.87;92.731;3.172;101.866
2006;74;19.5;68400;11.7;8.5005;-25.817;-1.017;-0.067;-20.667;-3.3505;0;22.54;84.03;92.807;3.302;118.874
2006;74;20.5;72000;8.6741;7.695;-26.703;-0.964;-0.063;-23.083;-4.075;0;22.08;84.83;92.813;3.46;82.905
2006;74;21.5;75600;8.7492;3.447;-20.501;-0.944;-0.066;-21.11;-4.056;0;22.03;85.73;92.893;3.926;86.528
2006;74;22.5;79200;8.5185;1.80225;-17.323;-0.982;-0.068;-19.46;-3.93925;0;21.78;87.9;92.946;3.488;97.744
2006;74;23.5;82800;8.9698;-4.28925;-12.941;-1.08;-0.068;-21.437;-4.20675;0;21.24;91.47;92.923;3.018;96.894
2006;75;0.5;0;7.5862;-9.8895;-8.368;-1.317;-0.067;-22.75;-4.4925;0;20.9;92.3;92.916;1.998;114.584
2006;75;1.5;3600;9.4696;6.70725;-13.695;-0.586;-0.064;-11.477;-4.48925;0;20.88;91.47;92.91;2.589;114.484
2006;75;2.5;7200;7.9134;-5.76475;-12.548;-1.134;-0.064;-23.52;-5.20725;2.032;20.16;95.4;92.883;3.14;104.96
2006;75;3.5;10800;10.8181;0.11325;-0.62;-0.161;-0.066;-8.102;-7.59525;0.508;19.58;98.57;92.833;3.02;101.558
2006;75;4.5;14400;7.3498;3.1795;-9.598;-0.273;-0.066;-12.877;-6.4585;0;19.56;98.93;92.795;2.605;106.824
2006;75;5.5;18000;5.9414;-4.3435;-4.862;-0.437;-0.07;-15.593;-6.3875;0;19.63;98.87;92.838;1.45;102.802
2006;75;6.5;21600;7.18145;-8.92625;-9.483;4.321;12.468;-24.857;-6.44775;0;19.71;97.6;92.902;1.791;121.502
2006;75;7.5;25200;-1.304;12.86625;-3.995;155.133;322.133;4.654;-4.21725;0;20.24;95.73;92.989;2.404;103.57
2006;75;8.5;28800;-16.42493;-35.4755;0.713;302.733;623.267;-36.27;-1.5075;0;21.57;89.27;93.048;2.421;101.629
2006;75;9.5;32400;-21.6973;222.83;31.603;421.7;873.567;256.933;2.5;0;22.48;84.33;93.116;2.789;82.011
2006;75;10.5;36000;-29.0814;446.07075;143.859;777;1633.667;596.9;6.97025;0;23.66;80.8;93.092;3.716;83.707
2006;75;11.5;39600;-30.1606;373.5715;47.849;556.1;1155;428.833;7.4125;0;24.11;78.36;93.075;2.878;65.38
2006;75;12.5;43200;-28.158;397.24625;131.66;679.433;1456.633;538.8;9.89375;0;25.18;76;92.998;2.075;73.368
2006;75;13.5;46800;-26.9137;335.86875;70.342;567.467;1226.767;432.867;26.65625;0;25.7;74.07;92.903;1.569;57.476
2006;75;14.5;50400;-25.6095;552.32325;39.406;761.733;1642.667;602.633;10.90375;0;26.53;70.22;92.785;3.039;101.529
2006;75;15.5;54000;-16.2931;84.0795;-3.82;144.7;304.267;80.977;0.7175;0;24;84;92.747;1.854;32.333
2006;75;16.5;57600;-10.07377;190.97825;-8.127;270.667;594.467;185.867;3.01575;0;25.06;79.29;92.7;1.663;87.925
2006;75;17.5;61200;1.03435;29.50275;-4.395;133.72;284.667;20.962;-4.14575;1.27;21.44;94.67;92.774;5.074;66.581
2006;75;18.5;64800;5.7222;7.225;-18.895;2.597;5.894;-19.62;-7.95;0.254;20.26;96.1;92.808;2.738;71.985
2006;75;19.5;68400;11.7;-4.256;-3.693;-0.309;-0.068;-14.7;-6.751;0;20.34;98.37;92.833;2.026;93.068
2006;75;20.5;72000;7.2267;-23.674;-41.162;-1.112;-0.082;-72.027;-7.191;0;20.64;93.47;92.846;2.745;58.248
2006;75;21.5;75600;3.5603;-24.89175;-42.985;-0.908;-0.07;-75.14;-7.26325;0;20.69;93.07;92.903;3.117;76.376
2006;75;22.5;79200;6.70055;-19.7885;-26.511;-1.598;-0.067;-53.33;-7.0305;0;20.55;94.5;93.001;2.249;79.395
2006;75;23.5;82800;7.7568;-15.60825;-23.611;-1.493;-0.069;-45.813;-6.59375;0;20.41;95.23;92.986;2.359;83.076
2006;76;0.5;0;7.5862;-32.00975;-5.366;-1.836;-0.07;-44.827;-7.45125;0;19.92;96.83;92.968;2.12;114.948
2006;76;1.5;3600;9.4696;-5.0665;-27.248;-3.195;-0.065;-40.447;-8.1325;0;19.76;95.2;92.951;2.368;84.581
2006;76;2.5;7200;9.9626;-18.24925;-37.872;-2.38;-0.065;-63.64;-7.51875;0;19.74;94;92.934;2.771;113.93
2006;76;3.5;10800;10.8181;-10.37;-28.281;-1.16;-0.066;-45.767;-7.116;0;19.62;94;92.894;2.71;83.648
2006;76;4.5;14400;7.3498;-4.3825;-22.389;-0.702;-0.065;-33.527;-6.7555;0;19.67;93.8;92.897;3.117;78.587
2006;76;5.5;18000;5.9414;-15.14575;-12.1;-1.345;-0.068;-34.28;-7.03425;0;19.43;94.57;92.916;2.631;93.226
2006;76;6.5;21600;10.1779;-1.862;-19.333;8.257;18.768;-28.99;-7.795;0;19.3;93.8;92.965;1.941;75.745
2006;76;7.5;25200;-4.2527;69.87175;1.688;142.4;284.967;67.197;-4.36275;0;19.87;91.5;93.025;2.834;93.61
2006;76;8.5;28800;-13.29;181.5335;1.896;257.533;523.633;182.9;-0.5295;0;21.16;87.07;93.074;2.314;82.122
2006;76;9.5;32400;-23.4248;302.68125;41.904;461.3;943.667;348.7;4.11475;0;22.63;83.47;93.101;2.554;101.663
2006;76;10.5;36000;-26.2214;330.7285;76.787;536.833;1109.667;415.067;7.5515;0;23.97;77.78;93.09;2.409;90.155
2006;76;11.5;39600;-33.6501;468.93375;97.84;751.167;1605;577.7;10.92625;0;24.38;77.28;93.044;2.235;94.976
