SOILID,SLB,SLCL,SLSI,SLLL,SDUL,SSAT,SSKS,BEXP,Bperm,AEP,SRGF,SBDM,SLOC,SLCF,SLDR,SLRO,PTF
CENEOSMAG1,68,54.34358974,23.38974359,0.28158409,0.347612807,0.400929413,1,,,,0.278171254,0.999409744,0.533179487,10.20512821,0.9,73,1
CENEOSMAG1,120,54.34358974,23.38974359,0.28158409,0.347612807,0.400929413,1,,,,0.278171254,0.999409744,0.533179487,10.20512821,0.9,73,1
CENEOSFAS1,2,39.025,49.5,0.239804605,0.386996012,0.474822993,50,,,,0.8,1.08633,1.2575,3.75,0.9,73,1
CENEOSFAS1,6,39.025,49.5,0.239804605,0.386996012,0.474822993,50,,,,0.8,1.08633,1.2575,3.75,0.9,73,1
CENEOSFAS1,12,38.539375,50.025,0.238310567,0.387343742,0.475664792,50,,,,0.8,1.09099725,1.2080625,3.35625,0.9,73,1
CENEOSFAS1,19,38.539375,50.025,0.238310567,0.387343742,0.475664792,50,,,,0.8,1.09099725,1.2080625,3.35625,0.9,73,1
CENEOSFAS1,25,35.62317656,52.5978999,0.228821207,0.385522983,0.475137874,50,,,,0.8,1.114505263,0.846109784,2.102678571,0.9,73,1
CENEOSFAS1,38,34.77684859,52.74040493,0.225720581,0.381536697,0.469947739,1,,,,0.230686174,1.116560871,0.696495599,2.83125,0.9,73,1
CENEOSFAS1,51,34.09507042,53.29225352,0.222813726,0.384830229,0.475555943,1,,,,0,1.115387676,0.80834507,2,0.9,73,1
CENEOSFAS1,63,34.09507042,53.29225352,0.222813726,0.384830229,0.475555943,1,,,,0,1.115387676,0.80834507,2,0.9,73,1
CENEOSFAS1,111,34.09507042,53.29225352,0.222813726,0.384830229,0.475555943,1,,,,0,1.115387676,0.80834507,2,0.9,73,1
CENEOSAGS1,1,42,46.5,0.249937761,0.382114679,0.471438046,50,,,,1,0.98465,1.94,8,0.9,73,1
CENEOSAGS1,3,42,46.5,0.249937761,0.382114679,0.471438046,50,,,,1,0.98465,1.94,8,0.9,73,1
CENEOSAGS1,7,42,46.5,0.249937761,0.382114679,0.471438046,50,,,,1,0.98465,1.94,8,0.9,73,1
CENEOSAGS1,10,42,46.5,0.249937761,0.382114679,0.471438046,50,,,,1,0.98465,1.94,8,0.9,73,1
CENEOSAGS1,14,42,46.5,0.249937761,0.382114679,0.471438046,50,,,,1,0.98465,1.94,8,0.9,73,1
CENEOSAGS1,21,42.38333333,46.83333333,0.24849629,0.378760844,0.466842518,1,,,,0,1.00086,1.701333333,7.75,0.9,73,1
CENEOSAGS1,28,42.5,47.5,0.245695215,0.374979703,0.461878347,1,,,,0,1.02075,1.42,7.5,0.9,73,1
CENEOSAGS1,35,42,41,0.252422744,0.369308592,0.452565392,1,,,,0,0.9644,2.32,13,0.9,73,1
CENEOSAGS1,63,42,41,0.252422744,0.369308592,0.452565392,1,,,,0,0.9644,2.32,13,0.9,73,1
CEGLEIMAG1,4,44.71153846,30.39615385,0.265630077,0.38732627,0.472980467,5,,,,1,0.964046154,3.763846154,7.357692308,0.9,84,1
CEGLEIMAG1,12,47.87314585,27.37265647,0.270007219,0.378008092,0.454816371,5,,,,0.8,0.990821126,2.853046733,7.3345244,0.9,84,1
CEGLEIMAG1,25,51.33336388,24.75574251,0.275813469,0.370773429,0.44107479,5,,,,0.8,1.005076592,2.209331075,6.684425504,0.9,84,1
CEGLEIMAG1,38,52.72964767,23.3787884,0.277108114,0.366390257,0.433149634,1,,,,0.231745087,1.01618281,1.841880222,6.724124639,0.9,84,1
