SID,BIOMA,ORDEM,TEXTURA,LAT,LON,SLDR,SLRO,SLB,SLLL,SDUL,SSAT,SRGF,SSKS,SBDM,SLOC,SLCL,SLSI,SLCF
AMARGIMAG1,AMAZÔNIA,ARGISSOLO,Argilosa,-6.176312255,-61.63077304,0.6,73,12,0.241067538,0.326690669,0.391681211,0.2,3.5,1.102830289,1.466307924,43.8795584,24.61402959,15.07585787
AMARGIMAG1,AMAZÔNIA,ARGISSOLO,Argilosa,-6.176312255,-61.63077304,0.6,73,25,0.256120774,0.333891209,0.394691723,0.2,3.5,1.094065137,1.097959326,48.97216256,23.34138621,12.93650146
AMARGIMAG1,AMAZÔNIA,ARGISSOLO,Argilosa,-6.176312255,-61.63077304,0.6,73,38,0.259958339,0.334935347,0.394364169,0.2,3.5,1.092928463,0.946844453,50.61960716,22.7633482,12.38441917
AMARGIMAG1,AMAZÔNIA,ARGISSOLO,Argilosa,-6.176312255,-61.63077304,0.6,73,51,0.264417788,0.336356458,0.394263953,0.2,3.5,1.091694153,0.781544248,52.43027053,22.19941436,11.77783554
AMARGIMAG1,AMAZÔNIA,ARGISSOLO,Argilosa,-6.176312255,-61.63077304,0.6,73,77,0.268980595,0.337304851,0.393479413,0.2,3.5,1.090433188,0.587953357,54.40192632,21.520396,11.18472239
AMARGIMAG1,AMAZÔNIA,ARGISSOLO,Argilosa,-6.176312255,-61.63077304,0.6,73,102,0.271230925,0.337329402,0.392325987,0,3.5,1.092072636,0.436808851,55.27646812,21.32199521,10.86186596
AMARGIMAG1,AMAZÔNIA,ARGISSOLO,Argilosa,-6.176312255,-61.63077304,0.6,73,128,0.267441949,0.334931694,0.390642445,0,3.5,1.101007132,0.373513638,53.58730459,22.42218651,11.22962535
AMARGIAFR1,AMAZÔNIA,ARGISSOLO,Areia Franca,-5.466676923,-61.87436154,0.6,73,4,0.050972955,0.105475882,0.168574036,0.7,5,1.309976923,1.568461538,4.692307692,8.538461538,45.30769231
AMARGIAFR1,AMAZÔNIA,ARGISSOLO,Areia Franca,-5.466676923,-61.87436154,0.6,73,12,0.051239929,0.105819337,0.16903276,0.7,5,1.310402697,1.554747224,4.728826729,8.601178033,45.18177808
AMARGIAFR1,AMAZÔNIA,ARGISSOLO,Areia Franca,-5.466676923,-61.87436154,0.6,73,24,0.053076744,0.107991425,0.171321609,0.7,5,1.315345023,1.410726438,5.074779273,9.115916373,44.56859106
AMARGIAFR1,AMAZÔNIA,ARGISSOLO,Areia Franca,-5.466676923,-61.87436154,0.6,73,36,0.056714562,0.112117748,0.175612271,0.2,3.5,1.316671131,1.27338974,6.313094486,9.193376346,43.28765593
AMARGIAFR1,AMAZÔNIA,ARGISSOLO,Areia Franca,-5.466676923,-61.87436154,0.6,73,48,0.060958483,0.11696002,0.180253597,0.2,3.5,1.321190975,1.060336296,7.672903589,9.414231386,41.55334341
AMARGIAFR1,AMAZÔNIA,ARGISSOLO,Areia Franca,-5.466676923,-61.87436154,0.6,73,73,0.064593927,0.120657283,0.183432456,0.2,3.5,1.321495314,0.812952858,8.91621813,9.545992314,40.21771968
